learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l4_debug_02,debugging,L4,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
cf820cf1-d12b-442a-8d85-28e22315dbfd,1on1,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
ec6685dc-3cb1-4b13-847a-05001086ac8b,heterogeneous_classroom,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l1_recall_01,recall,L1,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1e91f458-97f4-49fc-8439-68d2122bbbb1,homogeneous_classroom,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l4_debug_02,debugging,L4,4,0,4,0,false,true,"Auto: answer wrong, tokens matched, mistakes 0%"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l5_debug_03,debugging,L5,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
8f3ecd21-c566-4f1f-9eae-06ac65d9048d,no_education,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
