learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
02ca6d03-5529-4a73-acb1-2870117a458b,1on1,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l4_debug_02,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
bbd11bab-30ad-449a-83b6-c3b9f962a268,1on1,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l4_debug_02,debugging,L4,2,0,0,2,false,true,"Auto: answer wrong, token mismatch, mistakes 50%"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l5_debug_03,debugging,L5,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
d64915d5-1da1-4766-beae-ca19026959d7,1on1,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l2_edge_case_01,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l2_edge_case_02,edge_case,L2,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
fc3ea812-1a18-430f-9d8d-8c0f7411f0a7,1on1,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
61ec014d-3583-44cf-a18d-12e2b2d8fbc9,heterogeneous_classroom,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l2_edge_case_01,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7ce1d6e5-f89d-4d11-b998-4432dcbd4ebd,heterogeneous_classroom,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
a2f999d9-d77f-4a2c-85b3-e6bef88c550c,heterogeneous_classroom,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
d7726248-8667-43b7-a1cb-74c799900e1b,heterogeneous_classroom,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
1db83df5-b599-445b-9028-cdc29fa40e6f,homogeneous_classroom,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l2_edge_case_02,edge_case,L2,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
62a007d6-945b-414c-9804-83feb4540952,homogeneous_classroom,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e83d7e5c-be4c-45a6-86a1-aab9f7b043d5,homogeneous_classroom,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
