learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
18f2503a-e911-4b15-a80b-8743e9371105,1on1,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l5_debug_03,debugging,L5,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
44d9cf19-eccb-4f96-bbcf-3fa2abba2e7f,1on1,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l4_debug_02,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l2_edge_case_01,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
5dce5e73-d9e7-4f13-acf1-2dfea043cf7c,1on1,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
