learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
094f62be-4f69-4df0-937b-82d385ae185c,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,18,4,4,3,,false,"Correctly identifies red's behavior and doubling effect with good rule application, though reasoning chain could be more explicitly structured."
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l4_debug_02,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l5_debug_03,debugging,L5,2,0,0,2,false,true,"Auto: answer wrong, token mismatch, mistakes 50%"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0f7485e1-6732-4a93-9ac8-71cf1271635e,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,12,3,2,2,,false,Correctly identifies the doubling rule but omits that red itself contributes 0 points; reasoning uses concrete examples but trails off into speculation about the Green case without resolution.
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
11dc04a3-d3b3-4fae-b29a-af6c5c71f120,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,15,4,4,1,,false,"Correctly identifies red as contributing 0 and doubling the next token, but the reasoning field mixes unrelated calculations and error-checking is minimal beyond an empty mistakes_found array."
1b023b38-e97f-4759-aab4-be08fb06e930,large_class_discussion_size_16,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1b023b38-e97f-4759-aab4-be08fb06e930,large_class_discussion_size_16,l4_debug_02,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
1b023b38-e97f-4759-aab4-be08fb06e930,large_class_discussion_size_16,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
