learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
185fcec3-962e-4708-b92a-5a8aba4b4644,classroom_public_qa,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l4_debug_02,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
54c1f2a2-a817-4d93-a056-a4067bb2f7f5,generic_one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
a7e02f26-6062-45dd-a8c6-d79829cb20f1,procedure_scaffolded_one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
