learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l5_counterexample_01,counterexample,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
68c8e92d-b2fc-4a79-aeb8-e219b0d96ae1,1on1,l6_induction_01,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l5_counterexample_01,counterexample,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8112b2b2-cc52-4d8a-887a-ed0ad553e7ae,1on1,l6_induction_01,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l5_counterexample_01,counterexample,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6a740d81-7dc5-41e8-8651-97c466c5e429,classroom,l6_induction_01,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l5_counterexample_01,counterexample,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e261fe65-9d25-43b6-abc4-936bb49fdaff,classroom,l6_induction_01,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
