learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l5_counterexample_01,counterexample,L5,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l4_debug_02,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l2_edge_case_01,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
bfea202f-fcb9-44e1-8f88-c8fcdd45534c,1on1,l6_induction_01,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l5_counterexample_01,counterexample,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
687dbff3-c156-4ca5-9276-5e48b224fa7f,classroom,l6_induction_01,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l5_counterexample_01,counterexample,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
004e34f5-f73e-482e-bcec-14b1f4792a03,no_education,l6_induction_01,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
