learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l5_debug_03,debugging,L5,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0398e6f4-ddae-48dc-acbc-fc550d01764b,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l5_debug_03,debugging,L5,8,4,4,0,true,true,"Auto: answer correct, tokens matched, mistakes 0%"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
126a4e01-a79f-4c14-8412-0c2e520c3f35,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l5_debug_03,debugging,L5,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
17260a88-f5ba-40b9-8550-d504882aea08,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
190d9248-a969-4596-85dc-dbf01e8bea2c,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
190d9248-a969-4596-85dc-dbf01e8bea2c,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
190d9248-a969-4596-85dc-dbf01e8bea2c,large_class_discussion_size_16,l5_debug_03,debugging,L5,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
190d9248-a969-4596-85dc-dbf01e8bea2c,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
190d9248-a969-4596-85dc-dbf01e8bea2c,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
190d9248-a969-4596-85dc-dbf01e8bea2c,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
190d9248-a969-4596-85dc-dbf01e8bea2c,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
