learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l5_debug_03,debugging,L5,2,0,0,2,false,true,"Auto: answer wrong, token mismatch, mistakes 50%"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1289c32f-837a-47d6-98d0-e5787424846a,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l5_debug_03,debugging,L5,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
21e44bf0-4385-47de-98cd-fab9a35f3357,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2513f149-adc7-4a81-a1e2-3ccb90255303,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l5_debug_03,debugging,L5,2,0,0,2,false,true,"Auto: answer wrong, token mismatch, mistakes 50%"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
924297cb-39ae-42b7-9d7d-4840ff421c12,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
