learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0fe596a1-31a1-4b02-817e-77ac3912841b,1on1,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1ecba40c-fe73-4e64-8744-a1d9fb4b0fa3,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
1ecba40c-fe73-4e64-8744-a1d9fb4b0fa3,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1ecba40c-fe73-4e64-8744-a1d9fb4b0fa3,1on1,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
1ecba40c-fe73-4e64-8744-a1d9fb4b0fa3,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1ecba40c-fe73-4e64-8744-a1d9fb4b0fa3,1on1,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
1ecba40c-fe73-4e64-8744-a1d9fb4b0fa3,1on1,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
1ecba40c-fe73-4e64-8744-a1d9fb4b0fa3,1on1,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
