learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l4_debug_02,debugging,L4,2,0,0,2,false,true,"Auto: answer wrong, token mismatch, mistakes 50%"
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
177c0b13-5621-4679-b3da-60bc31bb2f79,classroom_public_qa,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
429522f6-05c3-456a-895f-a795d7c17e1c,classroom_public_qa,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l2_edge_case_02,edge_case,L2,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
6087fa8c-fdf9-49ad-b858-59eb1bb47ef6,classroom_public_qa,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
81d3a1e2-17aa-431c-988f-75cfb112a0bc,classroom_public_qa,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
08304c78-72e2-4364-9597-a75cded6cda1,generic_one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l4_debug_02,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
46acf1e1-5aca-4993-8f45-1b39e0a13266,generic_one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l4_debug_02,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
6728a7eb-7c9b-473f-ab07-f388340141df,generic_one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7d27368c-6e14-41c9-b331-58308d3829f7,generic_one_on_one_tutoring,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
7d27368c-6e14-41c9-b331-58308d3829f7,generic_one_on_one_tutoring,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
7d27368c-6e14-41c9-b331-58308d3829f7,generic_one_on_one_tutoring,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7d27368c-6e14-41c9-b331-58308d3829f7,generic_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
7d27368c-6e14-41c9-b331-58308d3829f7,generic_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
7d27368c-6e14-41c9-b331-58308d3829f7,generic_one_on_one_tutoring,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
