learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l4_debug_02,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
74b371ac-10b7-46e9-b2fe-2e86c03d9b48,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l2_edge_case_02,edge_case,L2,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
aba32739-aa9d-426e-ab08-2aeb710197b6,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l2_edge_case_01,edge_case,L2,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l7_explanation_choice_01,explanation_choice,L7,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b04cb6ba-c0de-4542-877a-087ac6e68ad3,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
b5783ca6-7f8a-4be0-b512-fdefc49025df,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
