learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
a9f52e73-1b46-4039-84e0-bb232002cb35,1on1,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
7c2fbcc0-86dd-42cf-aacf-444bcdf14b65,heterogeneous_classroom,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
6bfe1f4a-8026-4309-9162-273a9815ae1a,homogeneous_classroom,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l4_debug_02,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l5_debug_03,debugging,L5,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
5c866cfa-9766-4f5d-ae3e-e2ca34fafe43,no_education,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
