learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l5_debug_03,debugging,L5,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0391a22d-6f65-4dbd-b195-70381c12142f,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l5_debug_03,debugging,L5,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0ae4a696-b211-4b64-a716-c99c5743fbdf,large_class_discussion_size_16,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
