learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l4_debug_02,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l5_debug_03,debugging,L5,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
c8a4ba92-9e68-4049-82fa-78a5a3a91227,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l4_debug_02,debugging,L4,8,4,4,0,true,true,"Auto: answer correct, tokens matched, mistakes 0%"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d4e1622c-8037-4f8f-afad-215ca99244eb,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l4_debug_02,debugging,L4,4,0,4,0,false,true,"Auto: answer wrong, tokens matched, mistakes 0%"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l5_debug_03,debugging,L5,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
49f14ce7-ed72-4e38-9c92-702d6560e3ac,lecture_plus_one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
a73e133f-4247-44ed-9d0d-f02218a2cab3,lecture_plus_one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l4_debug_02,debugging,L4,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l7_peer_error_01,peer_error_detection,L7,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
8b3fbd9f-b05a-4782-a572-935d5131e0fe,lecture_plus_small_group_discussion,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
d007e3f4-75a9-4a6b-8c62-4461f8d9a58e,lecture_plus_small_group_discussion,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
d007e3f4-75a9-4a6b-8c62-4461f8d9a58e,lecture_plus_small_group_discussion,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
d007e3f4-75a9-4a6b-8c62-4461f8d9a58e,lecture_plus_small_group_discussion,l5_debug_03,debugging,L5,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
d007e3f4-75a9-4a6b-8c62-4461f8d9a58e,lecture_plus_small_group_discussion,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
d007e3f4-75a9-4a6b-8c62-4461f8d9a58e,lecture_plus_small_group_discussion,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
