learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
002e63d2-16f6-4c4d-a93d-04e31b2ad5f1,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l5_debug_03,debugging,L5,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
02be6426-d4e0-49a0-a8be-9f45dc3a8a3d,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
2ff635c7-6b66-4633-bc06-2c11fa9e4d8b,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
