learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
498e4ef3-1b4c-42b7-adfe-faae05c89483,classroom_forced_checkin,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
e0810a7e-6663-4034-a1cd-d4330447fff3,classroom_public_qa,l6_induction_02,short_rule_induction,L6,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l4_debug_02,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l5_debug_03,debugging,L5,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l2_edge_case_01,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
b76e73b8-a145-45d7-9dfb-527493ecf667,one_on_one_tutoring,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
