learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l5_debug_03,debugging,L5,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
1abfe347-af14-4683-953d-56fd6d5eeff7,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l4_debug_02,debugging,L4,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l5_debug_03,debugging,L5,8,4,4,0,true,true,"Auto: answer correct, tokens matched, mistakes 0%"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
339ba3ad-2130-4a7c-844e-7a64451ef58e,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l5_debug_03,debugging,L5,6,4,0,2,true,true,"Auto: answer correct, token mismatch, mistakes 50%"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
8720760d-b707-44d9-a147-f50fd7b15e60,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l4_debug_02,debugging,L4,2,0,0,2,false,true,"Auto: answer wrong, token mismatch, mistakes 50%"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l5_debug_03,debugging,L5,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l2_edge_case_02,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
92686c10-9f31-4c75-9c7d-4f6d7a07834b,large_class_discussion_size_16,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l4_debug_02,debugging,L4,2,0,0,2,false,true,"Auto: answer wrong, token mismatch, mistakes 50%"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l5_debug_03,debugging,L5,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l7_peer_error_01,peer_error_detection,L7,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l1_recall_01,recall,L1,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
0d806c98-01f4-40d9-9d05-d9ee934d474c,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l4_debug_01,debugging,L4,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l4_debug_02,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7a3034c-014e-4c07-9642-27cef14a77aa,lecture_only,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l4_debug_01,debugging,L4,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l5_debug_03,debugging,L5,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l2_edge_case_02,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l7_explanation_choice_01,explanation_choice,L7,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l7_peer_error_01,peer_error_detection,L7,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l1_recall_01,recall,L1,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l3_rule_interaction_01,rule_interaction,L3,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
23b0084f-8d31-40f3-a88c-51ef3ec90c86,medium_class_discussion_size_8,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
5e25567d-b8a6-44f1-a41e-1921a1bc045d,medium_class_discussion_size_8,l4_debug_01,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
5e25567d-b8a6-44f1-a41e-1921a1bc045d,medium_class_discussion_size_8,l4_debug_02,debugging,L4,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
5e25567d-b8a6-44f1-a41e-1921a1bc045d,medium_class_discussion_size_8,l5_debug_03,debugging,L5,10,4,4,2,true,true,"Auto: answer correct, tokens matched, mistakes 50%"
