learner_id,condition,task_id,task_type,difficulty,total,correctness,rule_application,error_checking,answer_correct,auto_scored,comments
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
c7c10d16-35a8-4e01-9690-e4ab36fbf35d,1on1,l6_induction_02,short_rule_induction,L6,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l4_debug_01,debugging,L4,8,4,0,4,true,true,"Auto: answer correct, token mismatch"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l4_debug_02,debugging,L4,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l5_debug_03,debugging,L5,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l2_edge_case_01,edge_case,L2,12,4,4,4,true,true,"Auto: answer correct, tokens matched"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l3_rule_interaction_01,rule_interaction,L3,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
615ce8b2-cdc0-4728-83e2-d88a47ae5955,classroom,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l4_debug_01,debugging,L4,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l4_debug_02,debugging,L4,6,0,4,2,false,true,"Auto: answer wrong, tokens matched, mistakes 50%"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l5_debug_03,debugging,L5,0,0,0,0,false,true,"Auto: answer wrong, token mismatch, mistakes 0%"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l2_edge_case_01,edge_case,L2,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l2_edge_case_02,edge_case,L2,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l1_recall_01,recall,L1,8,0,4,4,false,true,"Auto: answer wrong, tokens matched"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l3_rule_interaction_01,rule_interaction,L3,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
dda96a79-a491-4ad6-9c83-c99628fc9cfd,no_education,l6_induction_02,short_rule_induction,L6,4,0,0,4,false,true,"Auto: answer wrong, token mismatch"
